akkadian,english,confidence,src_len,tgt_len,ratio
a ma-lá dí-in a-lim{ki} a-li ra-bi₄-ṣú-um i-pá-li-lu lu-ta-me ù ú-nu-tám lu-na-dí-id ù,"according to the verdict of the city wherever the attorney interrogates, he may impose an oath and search the goods.",22,12,20,1.667
ma-da-tim lu-lá-pí-ta-kum iš-tù ma-ar-ṣa-am li-bi-im ú a-ší-ra-am ú-lá ni-ir-ta-ší a-bi a-ta tí-ir-ta-kà,"why should i write at length to you, that we are unhappy and have no one to care for us?",22,12,20,1.667
ša ší-nu-nim ta-ah-sí-is-tám mu-nu-sú-nu na-áš-a-kum mì-ma a-nim a-na šu-ištar ni-ip-qí-id-ma na-áš-a-kum ku-sí-tám ša a-n,the robe you left here has also been sold for 1 mina 6 shekels and the proceeds in silver is in ali-ahum's possession.,22,14,23,1.643
šu-ma be-lí a-ta tí-ir-ta-kà li-li-kam-ma ṭup-pá-am ša ší-be ú-kà-al lá-ah-ri-im-ma lá-at-be-a-ma lá-tal-kam a-we-lúm ú-na-a-ni,"if you are truly my lord, send word here, i hold the tablet with witnesses; i shall certify it, set out and come.",22,14,23,1.643
a-we-lim ša-ah-lá-at šu-ma a-we-lúm é-tám i-šu-ma na-ru-qú-šu šál-ma-at a-ni-tum lá a-ni-tum tí-ir-ta-ak-nu za-ku-tum li-li-kam,send me a clear report whether it is so or not that the man has a house and his joint-stock capital is safe.,22,14,23,1.643
a-ṣé-ri-a lu-ub-lu-nim ù i-na ri-iš a-mu-tim ší-be šu-ku-un ki-ma a-šu-mì dumu puzur₄-sú-in a-mu-tám gán-lam₅,"also, set witnesses for the amount of iron to the fact that the iron must pass overland in the name of puzur-suen's son.",22,14,23,1.643
a-na pá-ni a-na ha-hi-im šé-bi₄-lam mì-šu ša áš-ta-na-me-ú-ma am-tí a-dí-ni i-na wa-áš-ha-ni-a lu,why is it that i keep hearing that my maid is still staying in wašhaniya and that you keep silent about it?,22,13,22,1.692
na-áš-a-ku-nu-tí a-ma-kam iš-tí áb-nim ša tù-ša-qí-lá-ni ma-ah-ṣa-ma šu-ma ba-tí-iq i-li i-ṣé-ri-šu id-a a-ha-ma,"check? it there with the weight-stone that you weigh with and if there is too little, add bags on top of it.",22,13,22,1.692
a-lu-lá-a iš-qú-lu-ni-ku-nu-tí-ni tí-ir-ta-ak-nu li-li-kam ṭup-pì ša ku-lu-ma-a ú-kà-lu-ni šu-ma tù-šé-ṣí-a-šu li-tí-a-ma ku-un-kà-ma šé-bi₄-lá-ni-šu,"as to my tablet which kulumaya holds, if you have recovered it, then split (the envelope), seal it (again) and send it.",22,13,22,1.692
ma-li-a-am ma-nu-kà-bi₄-a na-áš-a-ku-nu-tí a-hu ú-a a-tù-nu i-na ša-am-ší im-ma ma-nu-kà-bi₄-a e-ra-ba-ni pí-ri-kà-ni ša-ma-nim-ma,"please, my brothers, buy on the very day mannu-kī-abiya arrives in town -textiles and send them to me with the first opportunity.",22,13,22,1.692
igi ṣí-lá-{d}im kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni ba-áb i-lim igi pá-aṭ-ri-im ša a-šur ṭup-pá-am,the kanesh colony gave us and we gave our testimony in the gate of the god before aššur's dagger on a tablet.,22,13,22,1.692
da-na-sú li-iq-bi₄-a-ku-nu-tí šu-ma lá i-ta-ah-ba-lam ṭup-pè-a pè-té-a-ma ta-ah-sí-sà-tim ša šu-mì i-ri-ší-im lá-áp-tù šé,"ask ennam-aššur about a tablet concerning 2.5 minas of silver where the creditor's name has been declared, and send it to me.",22,13,22,1.692
i-da-an-ma ú ṭup-pá-am ša ku-nu-ki-kà ú-ta-ra-kum-ma ú na-áš-pè-er-tí a-ni tum i-mu-a-at,and then i will give you back the tablet with your seal and this letter will be cancelled.,22,11,18,1.636
kišib šu-ku-bi₄-im dumu qá-a-tim kišib a-lá-hi-im dumu a-šur-ma-lik kišib ku-na-a dumu,"seal of šu-kūbum, son of qa'atum, seal of ali-ahum, son of aššur-mālik, seal of kunnāya, son of manana.",22,11,18,1.636
a-na 4 ha-am-ša-tim i-ša-qú-lu šu-ma lá iš-qú-lu ki-ma a-wa-at kà-ri-im ṣí-ib-tám,"if they have not paid (in time), they must add interest according to the rule of the colony.",22,11,18,1.636
a-dí ší-ni-šu tí-ir-tí i-li-kà-ku-um ki-ma lá-am-ni-iš e-ta-na-pu-šu iš-tù na-ah-ri-a tí-i-ir-tí a-šur-ma-lik,since he keeps behaving in an evil manner a message from aššur-malik son of šu-ištar came from nahriya.,22,11,18,1.636
a-dí tí-ir-tí i-lá-kà-ni li-dí-in a-hu-a-tù-nu a-dí ma-lá ú ší-ni-šu tí-ir-tí i-li-kà-ku-nu-tí-ma,"my dear brothers, i sent word to you once or twice, so do pay attention to my instructions.",22,11,18,1.636
kišib sú-kà-lí-a dumu a-mur-a-šùr kišib a-ku-za dumu šu-a-nim kišib ú-ra-a dumu,"seal of sukkalliya son of amur-aššur, seal of akuza son of šu-anum, seal of uraya son of manana.",22,11,18,1.636
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma igi gír ša a-šur ni-dí-in,the kanesh colony gave us for these proceedings and we gave (our testimony) before the dagger of aššur.,22,11,18,1.636
kišib e-lá-ma dumu i-dí-sú-en₆ kišib zu-za-a dumu i-sí-hi-im kišib en-na-sú-en₆ dumu,"seal of elamma, son of iddin-suen, seal of susāya, son of isihum, seal of ennam-suen, son of kukurānum.",22,11,18,1.636
a-na 15 ha-am-ša-tim i-ša-qal šu-ma lá ìš-qúl ki-ma a-wa-at kà-ri-im,if he does not pay he will add (interest) in accordance with the regulation of the colony.,22,10,17,1.7
ù-lá i-tù-ru šu-ma i-tù-ru lá-am-nu-ut a-na a-šùr ru-ba-im ù gal,"if they raise claim, it is an evil against anna, aššur, the king and the rabi sikkitim.",22,10,17,1.7
kù ú-ta-ar-ma ú i-ta-lá-ak šu-ma a-e-ma ú-dá-pì-ir e-ga-ar-ma ig-ri sà-ri-dim,if goes somewhere else i will rent somebody and the wages of the donkey-driver he shall compensate.,22,10,17,1.7
dingir-kur-ub ša tí-iš-mur-na ha-bu-lam ṭup-pè-a pè-té-a-ma ṭup-pu-šu šé-li-a-ma a-ma-kam urudu,"open for my tablets, produce his tablet and have him pay the copper and its interest there.",22,10,17,1.7
ù ša-lim-ìr-dí ub-lu-nim túg ra-qá-tí-kà a-šùr-e-mu-qí i-na ma-ri-it-hi-im i-dí-ší-na-ma ší-im-ší-na,"aššur-emūqī sold your thin textiles in marithum, but he has not brought the proceeds from their sale.",22,10,17,1.7
i-ša-qal šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb i-na,if he does not pay he will add interest in accordance with the regulation of the colony.,22,10,17,1.7
da-a-sú ù ú-kúl-tù-šu ša ki-ta-a iš-tù bu-ru-uš-ha-tim a-dí a-lim{ki} e-lá-ma,the road-tax he incurs and the food of kitaya from burušhattum until the city elamma has paid.,22,10,17,1.7
3 ha-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám,"if he has not paid, he must add interest in accordance with the rule of the colony.",22,10,17,1.7
kà-ru-um dur₄-hu-mì-it i-dí-ni-a-tí-ma igi gír ša a-šùr ší-bu-tí-ni ni-dí-in ṭup-pu-um,for these words the durhumit colony made us available and before aššur's dagger we gave our testimony.,22,10,17,1.7
i-a-tí ša-hi-ṭá šu-ma lá ki-am ma-lá um-me-a-ni ú-ra-ki-sú-ni-ni li-ba-ak-nu i-ma-ra-aṣ,"if this does not happen, you will be sorry about everything the investors have contracted with me.",22,10,17,1.7
a šu-mì-kà ma-ga-ra-am ú-lá i-mu-a a-pu-tum i-na ša-am-ší,"urgent, set out and come here the very day you hear our letter!",22,8,13,1.625
a-na anše ik-šu-ud a-hi a-ta we-da-ku mu-ša-ki-il₅ anše,i have no one to feed the donkey or realise the outstanding claims.,22,8,13,1.625
iš-tù ha-mu-uš-tim ša kur-ub-ištar ù ì-lí-iš-ta-kál a-na 4,from the week of kurub-ištar and iliš-tikal he will pay in 4 months.,22,8,13,1.625
wa-dí-a a-hu-a a-tù-nu i-ih-da-ma iš-tí a-li-ki-im pá-ni-im-ma áb-kà-nim,"my dear brothers, take care to ship it with the very first transport.",22,8,13,1.625
lá i-ma-ra-aṣ ṭup-pí-a ú ú-tù-up-tí lu tù-ša-ṣí-ir ma-lá,until my brother reveals to me my father's assets i shall be delayed.,22,8,13,1.625
dumu i-ku-nim ṣí-ib-tám ki-ma a-wa-at kà-ri-im kà-né-eš ú-ṣa-áb,he will add interest according to the regulation of of the kanesh colony.,22,8,13,1.625
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni ni-dí-in,the kanesh colony gave us for these proceedings and we have our testimony.,22,8,13,1.625
a-ma-kam i-na be-el id-ma-tim ša ki-ma um-mì-a-né ma-ma-an,over there no one of the share-holders representing the investors shall approach anything.,22,8,13,1.625
ú lá ša-qí-il₅ tí-ir-ta-ak-nu a-ṣé-ri-a iš-tí hu-ma-ša-na li-li-kam,send me word with humašana whether the silver has been paid or not.,22,8,13,1.625
iš a-qá-qá-dí-a ša-pì-ik a-lam am-ta-na-ha-ar-ma a-na ra-bi₄-ṣí-im lá,i keep appealing to the city that they should not give an attorney.,22,8,13,1.625
a-pu-tum ki-ma ṭup-pá-am ša sá-ra-tim ta-áš-me-ú tí-ib-a-ma a-tal-kam,"urgent, set out and come since you have heard a letter with falsehoods.",22,8,13,1.625
ma-tí-ma lá i-li-<gap>-kam ú šu-ma ša-hi-re-en lá tù-šé-lá-nim,"however, send me word if you do not bring the boots up here.",22,8,13,1.625
en-na-sú-in ša-li-ma šu-ma iš-tù a-lim{ki} i-ta-ṣa-am úz-ni pé-té-a,"ask about enna-suen, and inform (plural) me if he has left the city.",22,8,13,1.625
šu-ni-sà-ba iš-tù ha-mu-uš-tim ša a-bi-ì-lí a-na 4 ha-am-ša-tim,reckoned from the week of abī-ilī they are to pay within 4 weeks.,22,8,13,1.625
ki-ma i-a-tí igi 3 dumu um-me-a-nim qá-at-kà šu-ku-un,"also, on behalf lay claim to it with 3 affiliated traders as witnesses.",22,8,13,1.625
ta-ar-gu₅-ma-ni ta-ša-qá-al a-pu-tum ṭup-pè-e šé-bi₄-lá-ni-im ṭup-pì e ták-lá-a-ma,do not hold back the tablets lest the man ruins my father's house.,22,8,13,1.625
i-ba-ší i-na a-lá-ki-kà e-na-na-tim e-ri-iš-ma e-nu-nu-ni-kum ša-áp-ra-tum ša,"when you come, ask for clemency, and they will be lenient with you.",22,8,13,1.625
šu-hu-bu-ur i-da-na-ku-nu-tí-ni i-na li-bi ṭup-pí-a šu-uk-na-ma i-na ku-nu-ki-ku-nu,and the bundle should remain with ali-ahum under my seal until i arrive.,22,8,13,1.625
ša a-bu-silim qá-sú iš-ku-un a-na-kam ki-ma a-bu-silim 1,here i gave 1 mina of silver to sukkaliya on behalf of abu-šalim.,22,8,13,1.625
šu-ma a-hu-ú-a a-tù-nu al-kà-nim-ma ša-li-ú-um i-ṣé-er é a-bi₄-ku-nu,"please, my brothers, come here so that nobody will harm your paternal house.",22,8,13,1.625
ku-ku-ra-nim ṭup-pu-um ša a-wi-it e-lá-ma zu-za-a ù en-na-sú-en₆,"tablet of the declared value (of the goods) of elamma, susaya and ennam-suen.",22,8,13,1.625
ninda ša ni-ku-lu-ni kà-sà-am ša ni-iš-tù-ú lu,he surely knows that we eat bread and drank the cup (together)!,22,7,12,1.714
ša-áp-ku i-na lá tá-da-ni-im la-mu-tám ep-šu-ú igi,i gave them to a fuller for repairs with aluwa as witness.,22,7,12,1.714
a-tù-nu ta-áš-ta-pu-a-ma a-na lá a-we-lim ta-áš-ku-na-ni áš-me-ma,"but as for you, you kept quiet and made me a non-gentleman.",22,7,12,1.714
bé-et a-bi-a al-qé-ma a-hu-kà i-tù-ra-am i-na al,what did my paternal house that your brother came back on me?,22,7,12,1.714
i-šu iš-tù ha-mu-uš-tim ša a-mur-ištar a-na 23,reckoned from the week of amur-ištar he must pay in 23 weeks.,22,7,12,1.714
kišib a-lu-lá-a dumu a-li-a kišib a-šur-pì-lá-ah dumu,"seal of alulāya, son of aliya, seal of aššur-pilah, son of šu-anum.",22,7,12,1.714
i-ba-ší a-na a-wa-tim a-ni-a-tim ni-ìš a-lim{ki} nu-ta-mì-šu-nu,we made them swear an oath by the city for these words.,22,7,12,1.714
ta-dí-in-ma a-na u₄-mì-im wa-ar-ke-e li-ba-kà i-ma-ra-iṣ a-na,don't fail to give that silver lest you will regret it afterwards!,22,7,12,1.714
re-eš-tám ší-it-ri ša té-zi-bu lu hi-ba-ra-tim lu,all this we entrusted to šu-ištar(?) and he brings it to you.,22,7,12,1.714
igi e-zé-e ṭup-pu-um ša bé-ú-lá-ti-šu a-ha-ma i-ba-ší,we made them swear an oath by the city for these words.,22,7,12,1.714
šu-ma lá qé-pu-tum hu-sà-ra-am kà-il₅ ú né-nu,"if the things are not entrusted goods, then keep the lapis lazuli.",22,7,12,1.714
e-ri-ib-tim a bé-et kà-ri-im ni-dí-in 12 gú,damiq-pī-aššur brought 12 talents of good copper and 1 talent of .,22,7,12,1.714
i-šu-ú iš-tù ha-mu-uš-tim ša kàr-ri-a a-na 36,reckoned from the week of karriya he must pay in 36 weeks.,22,7,12,1.714
iš-tù ha-mu-uš-tim ša kàr-ri-a a-na 36 ha-am-ša-tim,reckoned from the week of karriya he must pay within 36 weeks.,22,7,12,1.714
lá-šu a-dí 5 u₄-me ša-lim-wa-ar-dí i-za-ku-ma ni-ṭá-ra-dam,within 5 days šalim-wardī will be cleared and we shall send him.,22,7,12,1.714
ší-ni-in ú šé-na-tim ša sí-ni-iš-tim ša-ma-ma šé-bi₄-lá-nim,"urgent, as for the textiles, sell them as well as you can.",22,7,12,1.714
urudu ma-lá e-pu-šu-ni iš-tí-a-ma a-na pu-ru-uš-ha-dim ú-šé-ra-áb-šu,what copper i shall make i shall bring into purušhaddum with me.,22,7,12,1.714
am-tim e-zi-ib er-ša-ší-ma a ma-lá tí-ir-tí-a ep-ša-ma ša-áš-qí-lá-šu-nu-ma a-šar lá-qá-im ku-un-kà-ma li-ib-ší a-hu-ú-a a-tù-nu,"demand them from her, act in accordance with my instructions, make them pay and seal what there is to recieve and let it be.",22,14,24,1.714
lá tù-ú-na-a-ni ù sí-ki-ni lá ú-kà-lu a-dí ha-am-ší-šu ù iš-ri-šu a-ha-am eb-ra-am nu-šé-ší-ib-ma a-ta,"five or ten times we have had a colleague and friend sit down to negotiate, but you have rejected everything; so, you cheat me.",22,14,24,1.714
ša tù-šé-bi₄-lá-ni-ni ṭup-pu-šu ha-ar-ma-am ša hu-bu-li-šu šu-nu-nu na-áš-a-ku-nu-tí a-hu-a a-tù-nu a-ma-kam ih-da-ma ší-im ṣú-ba-tí-a,"my dear brothers, take care there to have šalim-wardī and šu-nūnu credit you with the proceeds from my previous shipment of textiles and tin.",22,14,24,1.714
a-hu-a a-tù-nu i ni-kà-sí-a i-na bé-et kà-ri-im šu-ùh-ta ú qá-tí mì-ma lá ta-na-dí-a,"my dear brothers, withdraw at my accounting in the office of the colony and do not deposit anything on my account.",22,13,21,1.615
a-lim{ki} 3 gú 35 ma-na urudu ší-kam ša ṭup-pí-kà ša-ni-im e-li-im u₄-mu-kà 2,"as to the 3 talents 35 minas of copper from your second, upper tablet, your term is exceeded by 2 years.",22,13,21,1.615
kišib du-šu-ba kišib šu-ni-il₅-ga kišib ší-li-ú-ma-an kišib tal-ha-ma kišib šar-bu-nu-a kišib kà-áš-ší kišib,"seal of dušuba, seal of šunilga, seal of šiliuman, seal of talhama, seal of šarbunuwa, seal of kašši, seal of gadina.",22,13,21,1.615
ú-ṣú-ur-ša-a-šur ú-ší-ir a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš ṣa-he-ra-bi₄ i-dí-ni-ma ṭup-pá-am igi gír ša,the plenary assembly of the kanesh colony has given me for these proceedings and i gave a tablet before aššur's dagger.,22,13,21,1.615
ta-mu-im i-za-az é a-bi-kà hu-ra-áš-kà a-na lá-ma-dim i-lu-ku ù ṭup-pí-kà a-na šé-ṣú-im i-za-zu,"they will come to your father's house to learn about your store, and they stand ready to take out your tablets.",22,13,21,1.615
a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ṭup-pá-am ší-bu-tí-ni igi gír ša a-šùr ni-dí-in igi,"the kanesh colony gave us for these proceedings, and we gave a tablet with our testimony before the dagger of aššur.",22,13,21,1.615
ar-ši-ah igi ku-ku-lá-nim igi e-lá-li-a ṭup-pí-šu ib-ri-ú-ma ù šu-nu-ma ik-nu-ku-ma a-na ma-ṣa-ar-tim ú-šé-ri-bu,they inspected his tablets and they were also the ones who sealed them (again) and brought them (again) into the strong-room.,22,13,21,1.615
dumu a-mur-{d}utu iš-tù ha-mu-uš-tim ša i-na-a dumu e-lá-li ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb,reckoned from the week of innaya son of elāli he will add interest in accordance with the rule of the colony.,22,13,21,1.615
šu-ma ba-tí-qum ma-ma-an e-tí-iq ra-bi₄-ṣú-um le-tí-iq-ma ú-nu-tám ša ba-tí-qí-im lu-na-dí-id a-hu-ú-a be-lu-a a-tù-nu,"also, if anyone has departed with an express caravan, the attorney will travel and search the goods of the express caravan.",22,13,21,1.615
ša i-na a-lim{ki} a-bu-ni i-ṣé-er ú-ṣur-ša-ištar il₅-qé-ú a ší-a-tí kà-áb-sà-ni a-wa-tum i-ma-qú-ut-ma a-dí,concerning 3.5 minas of silver that our father took on uṣur-ša-ištar's account in the city - for that we are pardoned.,22,13,21,1.615
lu gám-ru-ma lu ni-is-ha-tum lu mu-ṭá-ú 4 gú lá 5 ma-na,"the wool - both expenses, import duty and deficit - has been cleared as 4 talents less 5 minas.",22,11,19,1.727
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ší-bu-tí-ni igi gír ša a-šùr,the kanesh colony has given us for these proceedings and we gave our testimony before the dagger of aššur.,22,11,19,1.727
ṣí-ba-sú ša-áš-qí-lá-šu a-dí tí-ir-tí i-lá-kà-ni urudu é iš-tí-in i ba-ri-ku-nu ku-un-kà-ma,"until my instructions arrive, seal it in a house belonging to one of you and let it remain there.",22,11,19,1.727
i-na mu-qá-ri-be ta-bi-ra šu-ma a-lá-kam iš-tí ku-li-a lá i-mu-ú kà-sí-a-šu-ma šé-ri-a-ni-šu,"if among the escorts you have chosen somebody refuses to accompany kuliya, bind him and have him brought here.",22,11,19,1.727
a-ni-a-tim kà-ru-um dur₄-hu-mì-it i-dí-ni-a-tí-ma ṭup-pá-am igi gír ša a-šur ša ší-bu-tí-ni,"the durhumit colony gave us for these proceedings, and we gave a tablet with our testimony before aššur's dagger.",22,11,19,1.727
sig₅ ku-nu-ki-ni ša-lim-wa-ar-dim i-ra-dí-a-kum 21 gú 30 ma-na urudu i-na ma-ṣa-ar-tim,we brought uot 21 talents 30 minas of copper from the safe. šalim-wardī gave us 3 talents of -copper.,22,11,19,1.727
i-na áb-na-tí-ni i-ša-qú-lu šu-ma lá iš-qú-lu ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣú-bu,if they have not paid (in time) they must add interest in accordance with the rule of the colony.,22,11,19,1.727
tù-šé-ra-šu sà-ru-tí iš-me lá iš-ta-na-me ki-ma a-na-kam a-hi ù tap-pá-i,does he not hear all the time that they maltreat my brother and my partner here?,22,10,16,1.6
tù-na-a-ni ù sí-ki-ni lá ú-kà-lu a-dí 5-ší-šu ù 10-ri-šu a-ha-am,"five or ten times we have arranged meetings with brothers and friends, but you keep refusing.",22,10,16,1.6
tù-ša-as-ha-ra-ni ha-ra-na-am dí-na-ni-ma li-ba-am a-na tám-kà-ri-im dí-na-ma a-m-ru u₄-me-šu lá,"arrange a caravan trip for me and encourage the merchant, so his ill-wishers will not multiply.",22,10,16,1.6
é a-bi₄-kà a-ta-ma ù ku-lu ma-e-em a-ṣé-ri-kà-ma ta-ur a-pu-tum a-ma-kam,you yourself are in your father's house and all the water has fallen back upon you.,22,10,16,1.6
i-na ša-am-ší ṭup-pí ta-ša-me-a-ni túg ú-ma-kál lá ta-kà-lá a-na a-lá-hi-im,the very day you hear my letter do not hold back the textile a single day.,22,10,16,1.6
dumu a-lá-hi-im igi a-šùr-i-mì-tí dumu i-ku-pí-ištar igi en-na-sú-in dumu šu-ištar,"witnessed by aššur-malik son of ali-ahum, by aššur-imittī son of ikūn-pī-ištar, by enna-suen son of šu-ištar.",22,10,16,1.6
lá a-ni-tum li-li-kam-ma ṭé-mì-i lu ṣa-áb-ta-am a ba-ri-ku-nu i-na e-ra-bi₄-a,"between you, when i arrive and consider the case, it must not be overturned for me.",22,10,16,1.6
a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma igi gír ša a-šùr ší-bu-tí-ni,the kanesh colony gave us for these proceedings and we gave our testimony before aššur's dagger.,22,10,16,1.6
a-ni-a-tim kà-ru-um kà-ni-iš-ki i-dí-ni-a-tí-ma ší-bu-tí-ni igi gír ša a-šùr ni-dí-in,the kanesh colony gave us for these proceedings and we gave our testimony before aššur's dagger.,22,10,16,1.6
a-na 3 ha-am-ša-tim i-ša šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im,if he does not pay he will add interest according to the regulation of the colony.,22,10,16,1.6
ša ša-lim-ma šu-ma ma-ma-an a-na é-be-tí i-tù-a-ar-ší-im a-šùr-du₁₀ ù ištar-lá-ma-sí,"if anybody raises a claim against her for the house, aššur-ṭāb and ištar-lamassī will clear her.",22,10,16,1.6
tí-ir-ta-ak-nu-ma li-li-kam iš-tí a-li-ki-im pá-ni-im-ma ki-ma ṭup-pá-am ta-áš-me-a-ni tí-ir-ta-ak-nu li-li-kam,"send me word with the very first transport, as soon as you have heard the letter.",22,10,16,1.6
a-šur-ma-lik dumu a-lá-hi-im ip-qí-du-šu a-na a-wa-tim a-ni-a-tim kà-ru-um kà-né-eš i-dí-ni-a-tí-ma,the kanesh colony gave us for these proceedings and we gave our testimony before aššur's dagger.,22,10,16,1.6
16 túg i-ší-tù-nim wa-ar-ki-a-ma a-na ší-tí-im ma-lá ta-du-nu-šu-ni a-ṣé-ri-a šé-bi-lá-šu-nu,"after i left, with respect to the remainder, send me as much as you will sell.",22,10,16,1.6
