akkadian,english
a-na qá-tí-šu ni-dí-in a-na šu-mì,we gave 1 shekel of silver for his disposal.
šu-{d}en.líl lá-šu a šu-mì-šu,after šalim-wardī came šu-illil was gone.
ša-lim-wa-ar-dim 10 u₄-me ú 20 u₄-me,because of him we made šalim-wardī wait 10 or 20 days.
nu-sá-as-hi-ir-šu i-na a-lá-ak šu-{d}en.líl tí-ir-tám za-ku-tám ni-ša-pá-ra-kum,when šu-illil arrives we shall send a final report to you.
a-na ku-li-a qí-bi-ma um-ma a-sá-num-ma a-šu-mì a-ší-im sá-ah-ra-a-ku,"to kuliya, say, thus says asānum: i am still staying (here) because of the meteoric iron."
a-ši-a-im i-ma-gu₅-ru a-da-šu-ma a-ta-be-a-am-ma a-ta-lá-kam a-dí-i na-áš-pè-er-tí-kà ša a-šu-mì,"when they agree with the (quality / price of the) iron i will sell it, get ready and leave to you."
kà-lá-pí-im i-li-kà-ni ší-bé-e a-dí-ni lá ah-ri-im i ší-be-a a-zu kà-ṣa-ar,"as for your letter which arrived here concerning the axe, i have not yet recorded (the dispositions) of the witnesses."
puzur₄-a-mur be-li a-ta a-na a-na,"among my witnesses figures azu, the transporter of puzur-aššur."
puzur₄-a-mur pu-nu-ma a-zu-ú li-iṭ-ru-dam iš-tí tap-pá-i-šu ší-bu-tám li-dí-nam i-na lá i-da-i-a a-mì-ša-am i-tal-kam um-ma šu-ut-ma a-na e-lá-lí a-lá-ak,"please, my lord, approach puzur-aššur and let him send azu to me, so that he can testify for me together with his colleagues. whithout my knowledge he has left for there, saying: i am going to elālī."""""
a-na en-um-a-šur ù sig₅-pí-a-šur a-na sig₅-pí-a-šur qí-bi-ma um-ma ša-ta-na-ma 10 gín kù.babbar ṣa-ru-pá-am a-na ší-a-ma-tim,to ennam-aššur and damiq-pī-aššur; specifically to damiq-pī-aššur from šāt-anna: i gave you 10 shekels of refined silver for purchases.
a-dí-na-kum 3 ša-lá-ší-šu qá-dum ša ha-ra-an a-lim{ki} ha-ra-nam ú-qá,three times i waited for the caravan together with those on the road to the city.
a-ma-kam kù.babbar ú ší-a-ma-tí-šu a-na en-um-a-šur šu-qúl,pay the silver or the goods bought with it there to ennam-aššur.
i-na 1.5 gú 4 ma-na urudu sig₅ ù 1 gú 14 ma-na urudu ṣa-lá-mì-im ša a-lá-hu-um e-zi-bu 31 ma-na urudu sig₅ ší-im <gap> a-šur-du-gul il₅-qé <gap> 4 ma-na urudu,"of 1.5 talents 4 minas of good copper and 1 talent 14 minas of black copper that ali-ahum left, aššur-dugul took 31 minas of good copper as the price of <gap> enna-suen took <gap> 4 minas of copper."
en-na-sú-in il₅-qé 8 ma-na urudu sig₅ zi-kur-{d}im il₅-qé 15 ma-na urudu ší-im ku-ta-nu a-na qá-tí-šu né-eš-qúl 1 ma-na urudu ṣa-lá-ma-am hi-<gap> ma-na urudu um-<gap> il₅-qé <gap>,zikur-adad took 8 minas of good copper. 15 minas of copper were paid to his account as the price of a kutānu. 1 mina of black copper <gap> minas of copper <gap> um-x took.
kišib a-lá-hi-im dumu e-lá-lí kišib en-nam-a-šur dumu en-na-sú-in kišib dan-a-šur dumu šál-mì-hi-im kišib pu-šu-ki-in dumu,"seal of ali-ahum son of elāli, seal of ennam-aššur son of enna-suen, seal of dan-aššur son of šalim-ahum, seal of pūšu-kēn son of sueyya."
na-ru-qám a-na en-nam-a-šur lá i-tí-dí-in 10 ma-na kù.babbar ṣa-ru-pá-am pu-šu-ki-in a-na en-nam-a-šur i-ša-qal šu-ma en-nam-a-šur,"if pūšu-kēn has not given a joint-stock investment to ennam-aššur (in time), pūšu-kēn must give 10 minas of refined silver to ennam-aššur."
qá-tám im-ta-ha-aṣ 10 ma-na kù.babbar ṣa-ru-pá-am a-na pu-šu-ki-in i-ša-qal,"if ennam-aššur has refused, he must pay 10 minas of refined silver to pūšu-kēn."
ta-ah-sí-is-tum a-ni-tum me-hi-ir ṭup-pì-im ha-ar-mì-im ša ku-nu-uk pu,this memorandum is a copy of a certified tablet sealed by pūšu-kēn.
šu-ma kà-nu-tum a-na a-na-ah-ì-lí ta-tù-wa-ar a-lá-bu-um ú-ša-ha-sú-ú,"should kannutum come back on anah-ili, then ali-abum will clear him."
<gap> a-šùr <gap> li-pu-ul-kà-ma <gap> ma-na kù.babbar ṣa-ru-pá-am šu-qú-ul um-ma i-dí-ku-bu-ma,<gap>-aššur <gap> he should answer you and you shall pay <gap> mina of refined silver.
ṭup-pá-am gal ṭá-bi₄-a-nim i-na ú-mì-im ša,iddin-kūbum said: erase the big tablet for me.
ú-bi₄-il₅ igi lá-qé-ep dumu i-zi-za-am-ì-lí igi a-šur-na-da,"in the presence of lā-qēp, son of izzizam-ilī, of aššur-nādā."
en-um-a-šùr a-na a-lá-hi-im iṣ-ba-at-ni-a-tí-ma um-ma en-um-a-šùr-ma a-na a-lá-hi-im-ma al-kam lá-áš-a-al-kà um-ma a-lá-hu-um-ma a-na mì-nim ta-ša-a-lá-ni um-ma en-um-a-šùr-ma a-na ta-ah-sí-sá-tim ša a-na-ku ù a-ta ni-kà-sí ni-sí-ú i ku-nu-ki-kà,"ennam-aššur seized us against ali-ahum and said to ali-ahum: come, let me question you!"" ali-ahum answered: ""why do you want to question me?"" ennam-aššur said: ""about the memoranda stating that i and you settled accounts."
ù ku-nu-ki-a kà-an-kà-ni ik-ra-ni ú-lá kà-i-na-ni um-ma a-lá-hu-um-ma ta-ah-sí-sá-tim ša ku-nu-ki-a ú ku-nu-ki-kà kà-an-kà-ni ke-na ku-nu-ku-a lá a-na-ki-ir um-ma en-um-a-šur-ma ša ni-iš a-lim{ki} <gap> ta-mu-ú kà-i-lá <gap>,"contest or confirm to me that they are sealed by you and me."" ali-ahum answered: ""as to the memoranda sealed by me and by you - yes, i do not contest my seal."" ennam-aššur said: ""keep in mind what was sworn by the city!"
um-ma ku-zi-zi-a-ma a-na en-um-a-šùr qí-bi-ma a-na ma-lá tí-ir-tí-kà hu-ur-ší-kà ša ṭup-pé-e pí-la-ah-ištar i-dí-nam hu-ur-ší-a-nu-um ù ku-nu-ku-kà ku-nu-ku ša a-lu-lá-a,"from kuzizya to ennam-aššur: in accordance with your message pilah-ištar gave me (access to) your store-room with the tablets - the container and your seal, sealed by alulaya."
um-ma a-na-ku-ma ú-ṭá-tám <gap>-a-ku-ma a-we-el-tim dí-in ú tí-ir-ta-kà,"i wrote to you and said: ""give the grain <gap> to(?) the lady."" so, send word."
um-ma ku-zi-zi-a-ma ù a-mur-ištar-ma a-na a-la-hi-im qí-bi-ma túg.hi-tù-kà i-na ma-ri-it-hi-im <gap> sig₅ i la <gap>-kam túg ra-qá-tum <gap> ša,"from kuziziya and amur-ištar to ali-ahum: your textiles <gap> in marithum, <gap> thin textiles that have been sold <gap> the rest of your textiles are available."
ta-da-nim i-ni-id-nu ší-tí túg.hi-tí-kà,the trade is at a stand-still.
a-na en-na-nim ù a-lá-hi-im qí-bi₄-ma um-ma puzur₄-a-šùr-ma 20 ma-na kù.babbar,to ennānum and ali-ahum from puzur-aššur: ennānum brings 20 minas of silver under my seal.
ku-nu-ki-a en-na-num na-ší kù.babbar i-na ma-na-i-šu áš-du a-na e-na-ah-dingir i-ta-ší-a-ma ṭup-pá-am ša,ašdu weighed the silver with his one-mina weight for enah-ilī so let him give you a tablet with my seal.
ku-nu-ki-a li-dí-na-ku-nu-tí ki-lá-lá-ku-nu-ma li-tí-a-šu-ma ri-hi ú tù-ra-ma ku-un-kà-šu-ma a-šar a-šùr-ni-im-ri e-ez-ba-šu,both of you should split (the envelope) <gap> and seal it again and leave it for aššur-nimrī.
ki-ma kù.babbar ta-áš-qú-lá-ni ma-ri-a-am ṭù-ur-da-nim ù tí-ir-ta-ak-nu iš-tí pá-ni-e-ma a-li-ki li-li-kam,"when you have weighed the silver send me the <gap> also, send me word with the first transport."
a-hu-ú-a a-tù-nu ih-da mì-ma i-ṣé-ri-a ṣí-ib-tum lá i-lá-qé,"my dear brothers, take care so he does not take any interest from me."
um-ma i-tur₄-dingir-ma a-na en-um-a-šùr qí-bi-ma lá li-bi₄ dingir-ma a-bu-kà me-et <gap>-bi-šu ṭup-pá-am <gap> bi-ki-tám <gap> an <gap> na <gap> hu <gap> da <gap> ṣé-er-<gap> tí <gap>,"from itūr-ilī to ennam-aššur: sadly, your father has died. <gap> a tablet <gap> the mourning the assets of your father have been sealed and are available."
a-bi-<gap> iš-tí ik <gap> a-wa-tum lá ta-ga-<gap> bu-lá-tù ša,there is nothing from outstanding claims in the house.
a-bi₄-kà kà-an-ku-ma i-ba-ší-ú,he spoke his will.
mì-ma ba-áb-tám i é-tim lá i-ba-ší-ú a-wa-sú iq-bi um-mì-a-nu mu-ut a-bi₄-kà iš-me-ú-ma <gap> a ta bu a-na a-wa-tim ša i-pá-na nu-sá-li-ú-šu-nu-tí-ni a-wi-lu ma-ag-ru a-pu-tum bu-lá-tim ša a-bi₄-ku-nu a-na kù.babbar <gap> na ki-ma <gap>-šu-nu e-pu <gap>,"the investors heard of your father's death and <gap> and the men agreed to that which we had earlier pleaded with them about<gap> urgent, the assets of your father (should be turned) into silver <gap>"
a-na-ku dam-qá-tim a-šé-e-a-kum a-ta lam-ni-iš té-pu-uš-a-ni <gap> ta-ṣa-ba-at ú i-a-tí be-li ki-ma ninda e-kà-lá-ni,"while i am bent on doing what is good for you, you have treated me badly and you have seized <gap> as for me, my lord is consuming me like bread."
ki-ma a-ma-kam tù-ša-hi-zi-ni um-ma a-ta-ma ší-im am-tim a-na me-er-i-a lá ta-dí-ni a-na ší-a-tí a-na,"as you instructed me there, saying: 'you must not give the price of the slave-girl to my son!', for that reason i have not given her to your son."
1 ma-na kù.babbar i-ṣé-er a-li-li ù kà-ar-ší-ni wa-al-dí-lúm ù,alili and karšini owe 1 mina of silver to waldi-ilum and ištar-lamassī.
bé-el-tí-kà igi wa-al-dí-lim ù kà-ar-ni-kà-šu,witnessed by waldi-ilum and karnikašu.
a-na a-wi-li ni-iš-qú-ul,the kanesh colony will render a verdict concerning silver and gold.
ša 25 ma-na urudu kù-áp-šu a šu-mì šu-ku-bi₄-im ú-ṣa-hi-ru ša 15 ma-na urudu a šu-mì-a ú-ṣa-hi-ru,from it they deducted the silver equivalent of 25 minas of copper for šu-kūbum's account and that of 15 minas of copper for my account.
ší-tí kù.babbar-pì-šu 14 gín,the rest of his silver is 14 shekels.
<gap> zi <gap> a-na al,<gap> save me while i can still be saved.
kišib bu-bu-ra-nu-um a-na a-bi₄-a dumu be-e-be ù a-šùr-du₁₀ <gap>-nu,sealed by buburānum; to abiya son of bebe and aššur-ṭab. <gap> abiya.
a-bi₄-a šu-ma a-hu-a a-tù-nu ih-da,"if you are truly my brothers, take care!"
a-na ša-lim-a-šur qí-bi-ma um-ma {d}im.gal-ma a-na-kam šu-ištar a-šur-ma-lik ù ša-lim-a-šùr iš-me-ú-ma um-ma šu-nu-ma a-wa-tum,"to šalim-aššur from adad-rabi: here šu-ištar, aššur-malik and šalim-aššur heard (your letter), and they said: this matter is correct as he wrote about it in his letter."
túg ku-ta-nu 12 ma-na 18 gín kù.babbar it-bu-lu 6,pilah-ištar leads these goods to the merchant. 1 mina of his gold is available. <gap> 4 minas of silver.
a-na i-dí-a-bi-im i-tur₄-dingir ku-ku-wa a-dí-da ù a-lá-hi-im qí-bi-ma um-ma en-um-a-šùr-ma a-šu-mì lu-qú-tim ša a-bi-ni a-šar ša-lá-mì-ša a-ṣé-er ša ki-ma a-bi-ni ù a-ṣé-ri-ku-nu a-dí ma-lá ú ší-ni-šu,"to iddin-abum, itūr-ilī, kukawa, adida and ali-ahum from ennam-aššur: once or twice i have written to our father's representatives and to you about how to deal with our father's goods in a safe manner."
áš-pu-ra-ku-nu-tí i-na tí-ir-tí-ku-nu ha-ra-an sú-qí-ni-ma a-šé-ru-ub lu-qú-tim ta-áš-ta-na-pá-ra-nim um-ma a-tù-nu-ma a-šar,in your instructions you keep writing to me about bringing the goods on the narrow track.
dumu a-zu-za-a iṣ-bu-tù-ma a-dí u₄-mì-im a-nim kà-li-i a-dí kù.babbar ša a-dí,"so, they have seized azuzaya's son on the narrow track and he is detained until this day."
a-na hu-ra-ṣa-nim pì-iq-da pá-zu-ur-tám,he has been paid the smuggling-fee.
ša-bu ku-nu-ki ša sí-sí-kà-tim pì-iq-da,entrust them with sealings on the hems.
a-šu-mì 2 túg ša ha-al-qú-ni a-na šu-ištar ù e-lá-li lá kà-áš-du,concerning 2 textiles that were lost they have not reached šu-ištar and elāli.
a-na en-nam-a-šur qí-bi-ma um-ma ša-ta-na-ma 30 ma-na urudu sig₅ ku-nu-ki-a a-lu-ú-a na-áš-a-ku-um,to ennam-aššur from šāt-anna: aluwa brings you 30 minas of good copper under my seal.
a-ma-kam ma-lá ta-le-e-ú a-na kù.babbar ta-e-er-ma,convert it to silver there as best you can.
a-na a-lá-hi-im ú zu-ku-a qí-bi-ma um-ma puzur₄-a-šur-ma 13 ma-na,to ali-ahum and zukuwa from puzur-aššur: ennam-aššur brought 13 minas of tin there.
kù.babbar i-na ṭup-pí-im,they appropriated things illegally and my father wrote many things concerning me.
ù a-šar ba-áb-tum ša a-bi-kà i-ba-ší-ú kà-li-ma-ni,"i have not rejected you with respect to going!"" ali-ahum answered the attorney ababa, saying: ""i submit to the tablet of the city and the attorney of my lord."
i-ša-ha-tí-ku-nu lá-zi-iz-ma kù.babbar,"yesterday you questioned me and i answered you, saying: 'come along!"
um-ma šu-ku-tum-ma a-na ta-na-wi-iš-tí ú i-iš-ta-ku-ša-ar a-na-kam en-na-ma-a-šùr pu-uz-ra-am,from šukkutum to tanawišti and ištakušar: ennam-aššur has fled from me here.
i-na pá-ni-a iṣ-ba-at a-na i-iš-ta-ku-ša-ar qí-bi-ma 5 pí-ri-kà-ni ša a ta-ad-mì-iq-tim ta-dí-ni-šu-ni ṣa-áb-tí-šu-ma,to ištakušar: seize him concerning the 5 that you gave him as an interest-free loan and make him pay the silver.
kù.babbar ša-áš-qí-li-šu šu-ma i-na-ki-ir-ki ší-bi a-na-ku,"if he contests you, then i have witnesses for him."
i-šu-šu-um šu-ma lá i-da-na-ku-nu-tí sí-ku-šu,if he does not give it to you then detain him.
ta-da-na-šu-um ha-ra-ni a-ta-be-a-ma a-ta-lá-kam,i shall set out on my journey and come.
i-tur₄-dingir ta-ha-za-ni i-na ṭup-pì-im ša,"if the attorney has already left, (give) the tablets to an express transport, a reliable affiliated trader."
ku-a-tí li-li-kam a-wa-sú,<gap> let him come to you.
lá-ag-mu-ur i qá-tí-im,i shall conclude his case.
i-ri-tim lá a-lá-kam,i shall not arrive empty-handed.
<gap> ma-na <gap> ša iš-tù ha-muš-tim ša a-šùr-ma-lik dumu a-lá-hi-im li-mì-im i-na-a ša i-ṣé-er en-um-a-šur dumu ša-lim-a-šùr dan-a-šùr dumu ša-lim-a-hi-im i-šu-ú kù.babbar ú ṣí-ba-sú en-um-a-šùr a-hu-šu ki-ma dan-a-šur ša-bu-ú ṭup-pu-um,"<gap> minas of <gap> which ennam-aššur son of šalim-aššur owed to dan-aššur son of šalim-ahum from the week of aššur-malik son of ali-ahum, eponymy innaya, that silver and the accrued interest his brother ennam-aššur has been paid in full on behalf of dan-aššur."
ha-ar-mu-um ša hu-bu-ul en-um-a-šur dumu ša-lim-a-šùr ša e-li-a-ni sà-ar igi ku-ku-wa dumu,a certified tablet concerning the debt of ennam-aššur son of šalim-aššur that may appear will be invalid.
bu-da-tim igi a-šur-{d}utu-ši dumu <gap> igi puzur₄-a-šur <gap> dan <gap>,"witnessed by kukuwa son of budātum, by ašsur-šamšī son of <gap>, puzur-aššur <gap>"
a-na a-mu-ru-ba-ni ù šál-ma-a-šùr qí-bi₄-ma um-ma šu-ku-bu-ma 5 anše im ṣa-lá-mu i-qá-ar-bi₄-im 2,"to amurrum-bāni and šalim-aššur from šu-kūbum: i am leading 5 black donkeys, thereof 2 with -loads, to you."
ša up-qí-im a-ra-de₈-a-ku-nu-tí,they belong to the merchant.
i-dí-na a-pu-tum šu-uq-lu-um lá i-pá-ṭá-ar a-pu-tum kù.babbar a-na,"urgent, the packet is not to be opened, urgent, send silver to me."
pá-ni-e-a šé-bi₄-lá šu-uq-lu-um lá i-pá-ṭá-ar,the packet must not be opened.
iš-tí puzur₄-ma-lá-sú ṭup-pá-áš-nu lá ta-dí-in 2 ma-na kù.babbar <gap>-nu a-na e-kà-li-e ni-ša-qal a-pu-tum,"if you have not given their tablet together with puzur-malasu, we shall have to pay 2 minas of silver<gap> to the men of the palace."
ṭup-pá-áš-nu dí-in e-lá-an,"urgent, give (them) their tablet."
1 ma-na kù.babbar mì-ma ú-lá ni-iṣ-ba-at,we have not seized anything other than 1 mina of silver.
ki-ma ṭup-pá-am ta-dí-nu é-kà-li ra-ki-is,"when you have given the tablet, bind over the palace."
a-na ta-ar-ki-is-tim lá i-šé-e-ú-ni-a-tí,they should not sue us over the contract.
puzur₄-ma-lá-sú a-šu-mì ki-a-am ni-iš-pu-ra-ku-um 1,for this reason we have sent you puzur-malasu.
gín kù.babbar a qá-tí-šu,we have given 1 shekel of silver to him.
ni-dí-in i-na na-áš-pè-er-tí-kà lá za-ku-a-ni <gap> tim kù.babbar ú-ša-áš-qí-lá-ku-mì-in,"had we not been cleared in your missive, <gap> would i have made him pay you the silver?"
